name,address,region,district,fed_distr,lat,lon,geocode
Адамийский психоневрологический детский дом-интернат,"385300, Адыгея, Красногвардейский р-н, а. Адамий, ул. Шоссейная, 45",Адыгея Республика,Красногвардейский район,Южный,45.073236,39.502311,до улицы
Адыгейская республиканская школа-интернат спец.корр. 8ого вида,"385332, Адыгея, Красногвардейский р-н, с. Новосевастопольское, ул. Чехова, 15",Адыгея Республика,Красногвардейский район,Южный,45.063797,39.710007,до улицы
МОУ Майкопский специальный дошкольный детский дом  ,"385000, Адыгея, г. Майкоп, ул. Первомайская, 202",Адыгея Республика,Майкоп,Южный,44.674957,39.949684,до улицы
"МУЗ  ""Психоневрологический дом ребенка""","385000, Майкоп, ул. 2-я Крылова, д.19.",Адыгея Республика,Майкоп,Южный,44.598238,40.115171,до улицы
Майкопский социально-реабилитационный центр для несовершеннолетних,"385000, Адыгея, г. Майкоп, ул. Промышленная, 30",Адыгея Республика,Майкоп,Южный,44.623940,40.103626,до улицы
"Адыгейская республиканская школа-интернат спец.корр. I, II, III и IV видов","385000, Адыгея, г. Майкоп, 2ая ул. Крылова, 2",Адыгея Республика,Майкоп,Южный,44.598771,40.110831,до улицы
"Республиканский социальный приют для детей и подростков ""Очаг"" ","385730, Адыгея, Майкопский р-н, п. Каменномостский, ул. Белинского, 20 ",Адыгея Республика,Майкопский район,Южный,44.288807,40.169949,до улицы
"Адыгейская республиканская школа-интернат для детей-сирот и детей, оставшихся без  попечения родителей","385440, Адыгея, Шовгеновский р-н, а. Хакуринохабль, ул. Краснооктябрьская, 100",Адыгея Республика,Шовгеновский район,Южный,45.017530,40.230019,до улицы
Адыгейская республиканская спец. (коррекционная) общеобразовательная школа-интернат 8-го вида,"385440, Адыгея, Шовгеновский р-н, а. Хакуринохабль, ул. Краснооктябрьская, 102",Адыгея Республика,Шовгеновский район,Южный,45.016284,40.235539,до улицы
"Центр помощи детям, оставшимся без попечения родителей","452120, Башкортостан, Альшеевский р-н, п. Раевский, ул. Юбилейная, 23",Башкортостан Республика,Альшеевский район,Приволжский,54.086945,54.937809,до улицы
Школа-интернат санаторная Шафрановская  ,"452110, Башкортостан, Альшеевский р-н, п. Шафраново",Башкортостан Республика,Альшеевский район,Приволжский,53.983261,54.768150,до наспункта
Детский дом с. Толбазы,"452280, Башкортостан, Аургазинский р-н, с. Толбазы, ул. Ленина, 108",Башкортостан Республика,Аургазинский район,Приволжский,54.011454,55.885834,до дома
Тубинский детский дом,"453661, Башкортостан, г. Баймак, п. Тубинский",Башкортостан Республика,Баймакский район,Приволжский,52.886852,58.222555,до наспункта
Социальный приют для детей и подростков,"452650, Башкортостан, с. Бакалы, ул. Гагарина, 30",Башкортостан Республика,Бакалинский район,Приволжский,55.167427,53.793930,до улицы
Бакалинская школа-интернат спец.корр. 2ого вида для слабослышащих детей ,"452650, Башкортостан, с. Бакалы, ул. Красных партизан, 25/1",Башкортостан Республика,Бакалинский район,Приволжский,55.179779,53.797390,до улицы
Социальный приют для детей и подростков,"452983, Башкортостан, Балтачевский р-н, д. В. Карышево",Башкортостан Республика,Балтачевский район,Приволжский,55.804180,55.978583,до наспункта
Белебейский детский дом,"452000, Башкортостан, г. Белебей, ул. Революционеров, 7 ",Башкортостан Республика,Белебеевский район,Приволжский,54.103180,54.092760,до дома
Социальный приют для детей и подростков,"452000, Башкортостан, г. Белебей, ул. Пионерская, 49",Башкортостан Республика,Белебеевский район,Приволжский,54.110505,54.109046,до дома
Ново-Михайловская школа-интернат спец. корр. ,"452030, Башкортостан, Белебеевский р-н, п. Ново-Михайловский",Башкортостан Республика,Белебеевский район,Приволжский,53.898912,54.130585,до наспункта
Белебеевская школа-интернат основного общего образования,"452000, Башкортостан, г. Белебей, ул. Ленина, 1",Башкортостан Республика,Белебеевский район,Приволжский,54.104733,54.106979,до дома
"ГУ Социальный приют для детей и подростков ""Родник""","452580, Башкортостан, Белокатайский р-н, с. Ургала, ул. Школьная",Башкортостан Республика,Белокатайский район,Приволжский,55.548851,59.501514,до наспункта
Белокатайская школа-интернат спец. корр. ,"452580, Башкортостан, с. Белокатай",Башкортостан Республика,Белокатайский район,Приволжский,55.706247,58.960878,до наспункта
Детский дом Серменевский ,"453521, Башкортостан, г. Белорецк, с. Серменево",Башкортостан Республика,Белорецкий район,Приволжский,53.877176,58.103268,до наспункта
Дом детства Узянский,"453522, Башкортостан, Белорецкий р-н, с. Узян",Башкортостан Республика,Белорецкий район,Приволжский,53.694500,57.857933,до наспункта
ГУЗ Белорецкий специализированный дом ребенка,"453500, Башкортостан, г. Белорецк, ул. Мичурина, 2",Башкортостан Республика,Белорецкий район,Приволжский,53.976818,58.444935,до улицы
Социальный приют для детей и подростков,"453500, Башкортостан, г. Белорецк, ул. Молодежная, 63",Башкортостан Республика,Белорецкий район,Приволжский,53.967838,58.356503,до улицы
Школа-интернат спец. корр. Верхне-Авзяновская ,"453524, Башкортостан, Белорецкий р-н, п. Верхний Авзян, ул. Коммунистическая, 17",Башкортостан Республика,Белорецкий район,Приволжский,53.526497,57.540478,до наспункта
Школа-интернат № 11 ,"453530, Башкортостан, г. Белорецк, ул. 50 лет Октября, 173",Башкортостан Республика,Белорецкий район,Приволжский,53.979418,58.440749,до дома
Бирский детский дом,"452320, Башкортостан, г. Бирск, ул. Интернациональная",Башкортостан Республика,Бирский район,Приволжский,55.423290,55.538674,до дома
Социальный приют для детей и подростков,"452477, Башкортостан, Бирский р-н, с. Верхнелачетау, ул. Мира, 39",Башкортостан Республика,Бирский район,Приволжский,55.471143,55.367850,до наспункта
Бирская школа-интернат спец.корр. 5ого вида для детей с тяжелыми нарушениями речи,"452450, Башкортостан, г. Бирск, ул. Мира, 150",Башкортостан Республика,Бирский район,Приволжский,55.415120,55.567802,до дома
Социальный приют для детей и подростков,"452742, Башкортостан, Благоварский р-н, п. Первомайский, ул. Молодежная, 1",Башкортостан Республика,Благоварский район,Приволжский,54.395252,55.662739,до наспункта
Благовещенский детский дом ,"452220, Башкортостан, г. Благовещенск, ул. Мира, 66",Башкортостан Республика,Благовещенский район,Приволжский,55.033394,55.977154,до улицы
"Социальный приют для детей и подростков ""Нур""",,Башкортостан Республика,Благовещенский район,Приволжский,55.318452,56.385662,до наспункта
ГОУ Буздякский  детский дом,,Башкортостан Республика,Буздякский район,Приволжский,54.556791,54.651023,до наспункта
Социальный приют для детей и подростков,"453591, Башкортостан, Бурзянский р-н, д. Кургашлы",Башкортостан Республика,Бурзянский район,Приволжский,53.277488,57.551124,до наспункта
Социальный приют для детей и подростков при Центре социального обслуживания,"453050, Башкортостан, Гафурийский р-н, с. Табынское, ул. Центральная, 62",Башкортостан Республика,Гафурийский район,Приволжский,53.988159,56.389130,до наспункта
