address,lat,lon
"Москва Борисовские пруды улица, д. 36, корп. 2",55.6401597758,37.7658140659
"Республика Башкортостан город Уфа, ул. М.Ферина, д. 19/1",54.7813479871,56.1335492134
"Республика Башкортостан город Уфа, ул. Ленина, 50",54.730014801,55.9511489868
"Республика Башкортостан город Уфа, ул. Пушкина, 108",54.720735131400005,55.949050784099995
"Республика Башкортостан город Уфа, ул. Революционная, 171",54.7321568996,55.9768009186
"Республика Башкортостан город Уфа, ул. Ленина, 25/29",54.7306577244,55.9491205215
"Республика Башкортостан город Уфа, ул. Гафури, 103",54.7373,55.933
"Республика Башкортостан город Уфа, ул. Революционная, 169",54.7325038083,55.975250601800006
"Республика Башкортостан город Уфа, М.Джалиля, 74/1",54.712427777600006,55.822278857200004
"Республика Башкортостан город Уфа, Таллинская, 25",54.7064340231,55.838372111300004
"Республика Башкортостан город Уфа, ул. Пушкина, 67",54.72395722,55.9350818396
"Республика Башкортостан город Уфа, ул. Пушкина, 103А",54.719790143400004,55.9546083212
"Республика Башкортостан город Уфа, ул. Ленина, 3",54.721130371099996,55.9444198608
"Республика Башкортостан город Уфа, ул. Тукаева, 39",54.7156226384,55.9521192312
"Республика Башкортостан город Уфа, ул. Посадская, 26",54.7132396866,55.9672147036
"Республика Башкортостан город Уфа, ул. Менделеева, 41",54.7111664975,55.9775787592
"Республика Башкортостан город Уфа, ул. Сочинская, 15",54.7084020805,55.9703528881
"Республика Башкортостан город Уфа, ул. Зои Космодемьянской, 38",54.7028850798,55.9536588192
"Республика Башкортостан город Уфа, ул. Достоевского, 67",54.7336157545,55.9535568953
"Республика Башкортостан город Уфа, ул. Зенцова, 51",54.7308156979,55.9326303005
"Республика Башкортостан город Уфа, ул. К.Маркса, 35",54.728367000000006,55.941014
"Республика Башкортостан город Уфа, ул. Ахметова, 275",54.78338000,55.886137
"Республика Башкортостан город Уфа, ул. Красина, 33",54.733108520500004,55.939781188999994
"Республика Башкортостан город Уфа, ул. Коммунистическая, 16",54.729022979700005,55.928764343299996
"Республика Башкортостан город Уфа, ул. Пушкина, 35/2",54.727101607600005,55.9238004684
"Республика Башкортостан город Уфа, ул. Гафури, 7",54.7216008057,55.92527771
"Республика Башкортостан город Уфа, ул. Выгонная, 10",54.7416954041,55.9135475159
"Республика Башкортостан город Уфа, ул. Лесозаводская, 1/1",54.743801116899995,55.900268554700006
"Республика Башкортостан город Уфа, ул. Ахметова, 320",54.7883823371,55.8836746216
"Республика Башкортостан город Уфа, ул. Летчиков, 8/2",54.79595975310001,55.8638262749
"Республика Башкортостан город Уфа, ул. Комсомольская, 163/1",54.765886059799996,56.0250109434
"Республика Башкортостан город Уфа, ул. Подвойского, 7",54.739906311000006,55.943073272700005
"Республика Башкортостан город Уфа, ул. 50-летия Октября, 24",54.737053612299995,55.97712814810001
"Республика Башкортостан город Уфа, ул. Мингажева, 160",54.735012613,55.9719246626
"Республика Башкортостан город Уфа, ул. Достоевского, 99а",54.732894077,55.9607720375
"Республика Башкортостан город Уфа, ул. Пархоменко, 93",54.7331046966,55.9620702267
"Республика Башкортостан город Уфа, ул. Кирова, 1",54.7318719367,55.9446305037
"Республика Башкортостан город Уфа, ул. Свердлова, 55",54.7270240784,55.9332885742
"Республика Башкортостан город Уфа, ул. Харьковская, 121",54.7332533687,55.981639623599996
"Республика Башкортостан город Уфа, ул. Худайбердина, 15",54.7287805796,55.9575426579
"Республика Башкортостан город Уфа, ул. Свердлова, 51",54.7272911072,55.9316520691
"Республика Башкортостан город Уфа, ул. Ленина, 61",54.736285539700006,55.951808095
"Республика Башкортостан город Уфа, ул. Мустая Карима, 53/55",54.735244901899996,55.9472751617
"Республика Башкортостан город Уфа, ул. Набережная р. Уфы, 51/1",54.775615,56.080940000000005
"Республика Башкортостан город Уфа, ул. Вологодская, 76/2",54.8208717039,56.1139369011
"Республика Башкортостан город Уфа, ул. 50 лет СССР, 10",54.7562971304,55.999680161499995
"Республика Башкортостан город Уфа, ул. Акназарова, 24к1 (жилой дом)",54.715882926400006,55.9987306595
"Республика Башкортостан город Уфа, ул. 8 Марта, 3",54.7364,55.9776
"Республика Башкортостан город Уфа, ул. 50-летия Октября, 16/1",54.7351581808,55.9678316116
"Республика Башкортостан город Уфа, ул. Мингажева, 138а",54.731556999999995,55.969931
"Республика Башкортостан город Уфа, ул. Менделеева, 148",54.721435337799996,56.0128390789
"Республика Башкортостан город Уфа, ул. Стадионная, д. 11",54.7677116394,56.228015899700004
"Республика Калмыкия Яшалтинский район, с. Красномихайловское, ул. Школьная, 3",46.1731479613,42.534626126300005
"Республика Карелия г. Олонец, ул. Полевая, д. 41",60.9736563213,32.9805278778
"Республика Карелия г. Олонец, ул. Карла Маркса, д. 3а",60.981867342200005,32.9747879505
"Республика Карелия г. Олонец, ул. Урицкого, д. 4а",60.9777581931,32.9759413004
"Республика Карелия г. Олонец, ул. Урицкого, д. 9",60.9781667896,32.972947955100004
"Республика Карелия г. Олонец, ул. Красноармейская, д. 19",60.9798791945,32.9819387197
"Республика Марий Эл г. Йошкар-Ола, ул. Осипенко, 46",56.646211675500005,47.879721522299995
"Республика Мордовия г. Саранск, ул. Р. Люксембург, д. 28",54.1701282359,45.12352645399999
"Республика Мордовия г. Саранск, ул. Транспортная, д. 17",54.1599840641,45.148546099700006
"Республика Мордовия г. Рузаевка, ул. Ленина, д. 93",54.058934482,44.959766864799995
"Республика Мордовия г. Саранск, ул. М. Расковой, д. 17а",54.174675032399996,45.1438844204
"Республика Мордовия г. Саранск, ул. Серадзская, д. 26а",54.1717611209,45.1384180784
"Республика Мордовия г. Рузаевка, ул. Тухачевского, д. 10",54.035968106400006,44.9298763275
"Республика Мордовия г. Темников, ул. Коммунистическая, д. 17",54.6313255388,43.2017505169
"Республика Мордовия г. Рузаевка, ул. Карла Маркса, д. 15",54.0622278499,44.9553573132
"Республика Мордовия г. Саранск, ул. Щорса, д. 29",54.1752150883,45.1498281956
"Республика Мордовия г. Саранск, ул. Комарова, д. 7",54.168162408,45.148315429700006
"Республика Мордовия г. Саранск, ул. Серадзская, д. 21",54.1730768025,45.1341372728
"Республика Мордовия г. Рузаевка, ул. Ленина, д. 16",54.057668701400004,44.939821958500005
"Республика Саха (Якутия) г. Якутск, ул. Ярославского, 27",62.0264396667,129.73374939
