lat,lon,address_voting,place_voting,comment,region
54.7813479871,56.1335492134,"город Уфа, ул. М.Ферина, д. 19/1",ООО ЖЭУ-65,,Республика Башкортостан
54.730014801,55.9511489868,"город Уфа, ул. Ленина, 50","Дворец культуры ""Нефтяник""",,Республика Башкортостан
54.720735131400005,55.949050784099995,"город Уфа, ул. Пушкина, 108",МБОУ ордена Дружбы народов Гимназия N 3 им. А.М.Горького,,Республика Башкортостан
54.742442099799995,55.945349335699994,"город Уфа, ул. Запотоцкого, 37",ГБУЗ РБ инфекционная клиническая больница N 4,,Республика Башкортостан
54.7321568996,55.9768009186,"город Уфа, ул. Революционная, 171",МАОУ СОШ N 44,,Республика Башкортостан
54.7306577244,55.9491205215,"город Уфа, ул. Ленина, 25/29","ООО Гостиничный комплекс ""Башкортостан""",,Республика Башкортостан
54.73610900479999,55.93177735810001,"город Уфа, ул. Гафури, 103","МБОУ ""Башкирский лицей N 2""",,Республика Башкортостан
54.73602538270001,55.9323889017,"город Уфа, ул. Гафури, 103","МБОУ ""Башкирский лицей N 2""",,Республика Башкортостан
54.7325038083,55.975250601800006,"город Уфа, ул. Революционная, 169",Финансово-экономический колледж Уфимского филиала Финансового университета при Правительстве РФ,,Республика Башкортостан
50.54343230439999,30.223994851100002,"город Уфа, Глазовская, 38а","Демский производственный участок Самарского автотранспортного комбината структурного подразделения КЖД ф-ла ОАО ""РЖД""",,Республика Башкортостан
54.712427777600006,55.822278857200004,"город Уфа, М.Джалиля, 74/1","Общ. ""Соцкультсервис""",,Республика Башкортостан
54.7064340231,55.838372111300004,"город Уфа, Таллинская, 25",МБОУ Школа N 104,,Республика Башкортостан
54.7067718539,55.838152170200004,"город Уфа, Таллинская, 25",МБОУ Школа N 104,,Республика Башкортостан
54.72395722,55.9350818396,"город Уфа, ул. Пушкина, 67",МБОУ средняя общеобразовательная школа N 45,,Республика Башкортостан
54.795900994899995,56.086937785100005,"город Уфа, ул. Трамвайная, д. 10","Административное здание ОАО ""Башвтормет""",,Республика Башкортостан
54.719790143400004,55.9546083212,"город Уфа, ул. Пушкина, 103А",Уфимское училище искусств,,Республика Башкортостан
54.721130371099996,55.9444198608,"город Уфа, ул. Ленина, 3",Башкирский государственный медицинский университет,,Республика Башкортостан
54.7156226384,55.9521192312,"город Уфа, ул. Тукаева, 39",МБОУ средняя общеобразовательная школа N 14,,Республика Башкортостан
54.6693950507,55.9142410755,"город Уфа, ул. Цветы Башкирии, 2/3","ЗАО ""Цветы Башкортостана""",,Республика Башкортостан
54.7132396866,55.9672147036,"город Уфа, ул. Посадская, 26","Стоматологическая клиника ООО ""Витадент люкс""",,Республика Башкортостан
54.7084206759,55.9476935863,"город Уфа, ул. Демская, 2","МУП ""Специализированное управление по ремонту и содержанию искусственных сооружений""",,Республика Башкортостан
54.7111664975,55.9775787592,"город Уфа, ул. Менделеева, 41",МБОУ средняя общеобразовательная школа N 19 им. Б.И.Северинова,,Республика Башкортостан
54.7084020805,55.9703528881,"город Уфа, ул. Сочинская, 15",Фонд социального страхования Российской Федерации,,Республика Башкортостан
54.7028850798,55.9536588192,"город Уфа, ул. Зои Космодемьянской, 38",МБОУ средняя общеобразовательная школа N 34,,Республика Башкортостан
54.7336157545,55.9535568953,"город Уфа, ул. Достоевского, 67","МБОУ ""Гимназия N 39""",,Республика Башкортостан
54.5248268958,55.9103518724,"город Уфа, ул. Искинская, 59/2",Клуб д. Искино,,Республика Башкортостан
54.564386346099994,55.935548543900005,"город Уфа, ул. Новая (Мокроусово), 3","""Медпункт д. Мокроусово""",,Республика Башкортостан
54.6024283923,55.93477606770001,"город Уфа, ул.  Светлая, 39","Дирекция МУ ДСП ""Чесноковка""",,Республика Башкортостан
54.7432379249,55.9016025066,"город Уфа, Лесозаводская, 1а","МБУ Дом культуры ""Ядкарь""",,Республика Башкортостан
54.7308156979,55.9326303005,"город Уфа, ул. Зенцова, 51","МБОУ ""Средняя общеобразовательная школа N 10""",,Республика Башкортостан
54.730459482200004,55.9323245287,"город Уфа, ул. Зенцова, 51","МБОУ ""Средняя общеобразовательная школа N 10""",,Республика Башкортостан
54.728367000000006,55.941014,"город Уфа, ул. К.Маркса, 35","ГУП ""Башавтотранс""",,Республика Башкортостан
54.7324976135,55.929325819,"город Уфа, ул. Чернышевского, 25а",Башкирский государственный педагогический университет им. М.Акмуллы,,Республика Башкортостан
54.732664872,55.929438471800005,"город Уфа, ул. Чернышевского, 25а",Башкирский государственный педагогический университет им. М.Акмуллы,,Республика Башкортостан
54.743628090200005,55.932013392399995,"город Уфа, М. Трактовая, 199","Уфимский спиртоводочный комбинат, филиал ОАО ""Башспирт""",,Республика Башкортостан
54.7461362061,55.9188061953,"город Уфа, ул. Силикатная, 3","ООО ""Башкирский кирпич""",,Республика Башкортостан
54.732739,55.916757,"город Уфа, ул. Нехаева, 94",Уфимский филиал Российского государственного социального университета,,Республика Башкортостан
54.732739,55.916757,"город Уфа, ул. Нехаева, 94",Уфимский филиал Российского государственного социального университета,,Республика Башкортостан
54.7787399555,55.889425277700006,"город Уфа, ул. Ахметова, 207","ООО ""Судоремонтно-судостроительный завод""",,Республика Башкортостан
54.739436,55.902289,"город Уфа, ул. Кирзаводская, 1/3","МБОУ ""Средняя общеобразовательная школа N 24""",,Республика Башкортостан
54.7900989782,55.9465456009,"город Уфа, ул. Защитников Отечества, 17","МБОУ ""Средняя общеобразовательная школа N 4"" (филиал школы) микрорайон ""Кооперативный""",,Республика Башкортостан
54.7843394368,55.888046622299996,"город Уфа, ул. Ахметова, 306","МБОУ ""Средняя общеобразовательная школа N 4""",,Республика Башкортостан
54.78338000000001,55.886137,"город Уфа, ул. Ахметова, 275","Уфимский филиал федерального бюджетного образовательного учреждения высшего профессионального образования ""Московская государственная академия водного транспорта""",,Республика Башкортостан
54.7926753496,55.872269868900005,"город Уфа, ул. Чкалова, 110",Республиканская школа-интернат N 5 спортивного профиля,,Республика Башкортостан
54.7843456236,55.888030529,"город Уфа, ул. Ахметова, 306","МБОУ ""Средняя общеобразовательная школа N 4""",,Республика Башкортостан
54.733108520500004,55.939781188999994,"город Уфа, ул. Красина, 33","МАОУ ""Гимназия N 91""",,Республика Башкортостан
54.729022979700005,55.928764343299996,"город Уфа, ул. Коммунистическая, 16","МБОУ ДОД ""Центр детского творчества"" Ленинского района ГО г. Уфа""",,Республика Башкортостан
54.727101607600005,55.9238004684,"город Уфа, ул. Пушкина, 35/2",Уфагортранс. Диспетчерская,,Республика Башкортостан
54.7216008057,55.92527771,"город Уфа, ул. Гафури, 7","МАОУ ""Средняя общеобразовательная школа N 35""",,Республика Башкортостан
54.7213008057,55.92527771,"город Уфа, ул. Гафури, 7","МАОУ ""Средняя общеобразовательная школа N 35""",,Республика Башкортостан
54.7416954041,55.9135475159,"город Уфа, ул. Выгонная, 10","МБОУ ""Средняя общеобразовательная школа N 25 с углубленным изучением татарского языка""",,Республика Башкортостан
54.743801116899995,55.900268554700006,"город Уфа, ул. Лесозаводская, 1/1","МАДОУ ""Детский сад N 25 комбинированного вида""",,Республика Башкортостан
54.7883823371,55.8836746216,"город Уфа, ул. Ахметова, 320","МАОУ ""Лицей N 46""",,Республика Башкортостан
54.79595975310001,55.8638262749,"город Уфа, ул. Летчиков, 8/2","МБОУ ""Средняя общеобразовательная школа N 128""",,Республика Башкортостан
54.79566832890001,55.863647460900005,"город Уфа, ул. Летчиков, 8/2","МБОУ ""Средняя общеобразовательная школа N 128""",,Республика Башкортостан
54.76257445270001,55.994181633000004,"город Уфа, ул. Парковая, 12/1",МАОУ гимназия N 47 им. А.П.Гайдара,,Республика Башкортостан
54.762574,55.994181999999995,"город Уфа, ул. Парковая, 12/1",МАОУ гимназия N 47 им. А.П.Гайдара,,Республика Башкортостан
54.765886059799996,56.0250109434,"город Уфа, ул. Комсомольская, 165/1",МБУ УЖХ г. Уфы,,Республика Башкортостан
54.754452130699995,56.0395377874,"город Уфа, ул. Белоозерская, 57",МБОУ ДОД ДЮСШ N 5 ГО г. Уфа,,Республика Башкортостан
54.739906311000006,55.943073272700005,"город Уфа, ул. Подвойского, 7",МБОУ СОШ N 26,,Республика Башкортостан
54.8009013187,56.0424935818,"город Уфа, Проспект Октября, 155",ГБУЗ Республиканский противотуберкулезный диспансер,,Республика Башкортостан
54.7478670251,55.9590125084,"город Уфа, ул. Ленина, 127",МБОУ СОШ N 95,,Республика Башкортостан
54.744705670100004,55.9685075283,"город Уфа, ул. Пархоменко, 155/2",Башкирское республиканское отделение общественной организации Всероссийского общества автомобилистов,,Республика Башкортостан
54.747860832700006,55.9590125084,"город Уфа, ул. Ленина, 127",МБОУ СОШ N 95,,Республика Башкортостан
54.737645142299996,55.9623652697,"город Уфа, ул. 50-летия Октября, 7А",МБОУ Лицей N 96,,Республика Башкортостан
